          MLS & OzoneSonde MERGED CLIMATOLOGY 1988-2015 for No Vortex Conditions (PPMV)

                              80-90 South
 Z     JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC
 0    0.027  0.021  0.018  0.023  0.025  0.029  0.029  0.030  0.030  0.029  0.033  0.028
 1    0.026  0.020  0.018  0.022  0.025  0.029  0.029  0.030  0.029  0.028  0.032  0.027
 2    0.024  0.019  0.018  0.023  0.026  0.030  0.030  0.031  0.030  0.028  0.030  0.025
 3    0.021  0.019  0.020  0.024  0.028  0.031  0.032  0.032  0.032  0.029  0.028  0.023
 4    0.021  0.020  0.022  0.026  0.030  0.033  0.034  0.034  0.034  0.030  0.027  0.023
 5    0.024  0.024  0.025  0.028  0.032  0.034  0.035  0.035  0.035  0.032  0.028  0.025
 6    0.031  0.030  0.030  0.032  0.034  0.036  0.036  0.036  0.036  0.034  0.032  0.031
 7    0.049  0.052  0.048  0.043  0.040  0.039  0.039  0.039  0.040  0.040  0.044  0.050
 8    0.096  0.103  0.092  0.073  0.057  0.050  0.046  0.048  0.050  0.055  0.070  0.091
 9    0.164  0.170  0.152  0.123  0.093  0.074  0.064  0.068  0.073  0.086  0.116  0.153
10    0.227  0.230  0.212  0.182  0.146  0.121  0.105  0.112  0.114  0.133  0.174  0.211
11    0.274  0.277  0.267  0.249  0.214  0.191  0.173  0.188  0.185  0.199  0.233  0.260
12    0.317  0.334  0.336  0.327  0.291  0.277  0.264  0.294  0.274  0.265  0.279  0.297
13    0.392  0.430  0.445  0.445  0.400  0.395  0.389  0.428  0.370  0.321  0.322  0.349
14    0.520  0.581  0.607  0.618  0.566  0.563  0.557  0.589  0.464  0.376  0.380  0.433
15    0.722  0.792  0.826  0.856  0.796  0.790  0.774  0.780  0.570  0.471  0.498  0.580
16    1.017  1.078  1.120  1.179  1.132  1.118  1.083  1.019  0.730  0.669  0.720  0.821
17    1.379  1.414  1.460  1.550  1.529  1.513  1.464  1.297  0.950  0.948  1.027  1.151
18    1.781  1.777  1.818  1.923  1.939  1.934  1.888  1.608  1.232  1.285  1.397  1.555
19    2.183  2.128  2.135  2.212  2.242  2.256  2.232  1.924  1.549  1.635  1.811  2.016
20    2.532  2.439  2.409  2.447  2.485  2.518  2.506  2.233  1.878  2.010  2.276  2.489
21    2.805  2.678  2.608  2.604  2.647  2.692  2.679  2.504  2.185  2.408  2.778  2.952
22    2.988  2.835  2.736  2.698  2.750  2.795  2.772  2.719  2.452  2.823  3.277  3.367
23    3.124  2.961  2.842  2.740  2.762  2.786  2.768  2.889  2.713  3.274  3.751  3.754
24    3.202  3.042  2.956  2.785  2.773  2.784  2.784  3.036  3.009  3.793  4.216  4.107
25    3.269  3.101  3.063  2.819  2.784  2.815  2.849  3.173  3.336  4.323  4.662  4.442
